"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44784940603.4785","50251937460.2265","50759627027.6849","51141807801.3182","50920698237.2441","45742378965.0399","51276943080.0441","46449414954.2377","45274579825.3334","62314841573.7799","80938551889.2924","98383446157.9341","114455765904.773","143281967322.677","172572462016.66","173881838268.7","184418412156.63","209582689186.434","215174801648.068","221840122347.611","231595723261.374","206023635311.039","184286078107.357","212827035868.132","217212508993.652","218889625706.959","185214764845.771","216278110404.958","238853384779.956","229427612156.581","231065347292.437",
"Afghanistan","AFG","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2286077062.63851","1851903350.80921","2416468993.5615","2614614017.26765","",
"Africa Western and Central","AFW","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","5413291128.53258","6172654632.17868","8418112720.14929","11998813678.7246","13425075232.8431","19172702960.3497","30211161260.043","35133549910.3419","27631645492.7572","34453679846.2005","39897304659.1531","40425520739.9837","43630026496.9846","29811444506.1967","18009087922.3728","24580578458.3186","21625621359.5098","19852988388.3313","11506786264.7288","12697198503.3265","18549517089.626","13171725205.0762","10497950625.1738",
"Albania","ALB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","554631600","581235407.925408","641958006.993007","690326317.016317","712237773.892774","634615407.925408","673124987.5","698499962.5","670374975","731750012.5","615888125","83600694.4444444","36891479.0257555","162105372.688304","355435476.998047","682373387.631813","738360352.576668","477432252.897069","577527392.828791","798506259.23244","1160808239.82001","1496758992.0646","1626417758.3832","2099315316.61322","2827199182.62872","3174923592.36415","3511360203.22725","4051578239.78517","4648696557.4091","4252019804.14015","3647069602.49168","4111428148.87112","3505325470.59312","3558450821.32615","3527504304.13348","2991540162.77031","3072305781.6622","3481577349.06133","3986304558.67856","3834690873.03143","3840478080.99402","4907416092.5425","4886446047.36765","5705204091.60912","6587224418.72331",
"Andorra","AND","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","6307246583.98464","7092315926.27039","7813151746.62822","8446463773.67409","10571944511.5169","14604328033.0711","22954780911.8655","40466809609.0317","55505638684.1375","69583152061.5405","84813504004.1228","97474562295.7976","119492200253.6","140308425104.402","147350313403.895","141281652735.089","129434607777.938","119111781145.852","117642451781.441","111349629473.525","104636297760.163","116557592463.965","129932384327.152","106526715482.885","109956239471.71","116343540133.919","115654153743.392","116890337607.609","119921921970.56","127082439133.908","132352399335.561","134867421876.761","139984026475.832","144855992633.675","148820252383.465","166939790729.436","197583001366.579","242594076204.937","296402076027.012","378159067658.25","484215052757.03","460464350307.511","526798754547.712","571651457935.641","594768939413.545","642276841970.205","679294263613.066","660138265312.402","615076050561.544","616335338244.216","659781185544.717","684364853266.282","578405303301.847","660100643770.148","797323578772.114","851607798062.727","900517564499.376",
"United Arab Emirates","ARE","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21672821592.9204","23139830197.4132","25853443648.7406","27619676405.7182","33195915588.8359","39044114853.6419","60798638529.612","70583970646.6984","73308153410.4833","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","3725017951.51323","5589891252.92397","3984872575.54807","3338776681.37774","4398700136.20025","5448823347.47535","5881428621.0885","5146060702.23671","5734285805.39451","7498571825.73388","7719211096.5115","8027999890.81471","8298250320.65817","10978444355.8423","16124666971.2541","15438486959.3817","15724100557.7079","17569000350.9751","24775243742.3944","16561791982.7053","19438878223.106","17852632104.7179","18341049876.2973","21718898273.9138","23341029089.7944","15504919334.872","18487184064.1619","21277822815.3887","23652389169.8899","11888871206.2989","19785104979.8088","27769271211.3267","38211583094.5993","45114528828.8288","51330897900","46285080200","49210611100","56727150100","59595219100","51073902400","46020116800","38098830100","11688424248.1085","19313487764.3146","26170381202.9054","34483165290.6659","42630505717.2557","56114681625.8495","68732764883.4796","51883572175.6764","70497814077.3976","91443182251.6994","86579294008.072","89922196966.4496","84105642157.6515","92571210122.056","79573035277.0583","97588216231.8032","80040541570.5404","63576894130.6922","55093408839.0922","84130008264.3843","111695689822.496","120105138255.454","101522875706.849",
