"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","37957587.6022794","46005101.3364344","56750855.8444089","66577671.126465","73253253.5441411","83506733.3680332","92324851.778358","104363318.202596","119061176.294002","142518387.524617","150776945.52903","172625698.324022","184916201.117319","174860335.195531","191428518.654718","195300622.43085","203959515.555782","213792033.786204","237489425.447731","241083341.275174","258511648.624753","280579736.05368","294407670.948928","256647501.536191","254946978.814397","281982631.952405","271442826.883523","288254149.266427","294048735.665398","326384493.667984","329491859.580995","342747564.690904","353260647.099514","373370713.29975","306599138.907713","370254073.22711","","","",
"Africa Eastern and Southern","AFE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","107797999.374555","112748556.927501","97488703.135307","105927660.483019","132260142.371893","155790640.096374","168266640.203143","194994299.369244","218072060.140131","244939574.034261","261330375.35115","249232122.946191","","","","","","","","","","","","","","","","","","","","","346155362.11051","414628368.304446","494199535.024783","534220721.194027","586655830.493086","808520477.376337","875519867.785475","1007275126.47066","1315124428.19327","1469911062.42629","1646490068.66479","1677066930.31799","1597595017.26609","1547802525.15607","1307011845.74819","1325949720.59984","1392398550.36158","1401991493.82822","1697020690.56449","1239762312.72959","","","",
"Africa Western and Central","AFW","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","333326143.58609","314208612.978439","310029317.679999","318730880.156704","329235260.797828","487525357.292731","473040505.227728","481879611.360375","510106615.350909","540022920.206463","574283719.442304","552444013.899161","416630709.836306","293216039.402765","211799456.618024","297699484.54625","395005283.735462","424992488.685872","400272375.234295","321531362.621967","456629537.912535","471414474.72435","865024914.28368","1020180766.81746","1354864706.40954","2034075632.46425","3022216484.14377","3955410645.29938","5305689768.98473","4912309931.78211","5695643692.04838","7519367119.90742","8895692970.33427","9800993981.03973","10248037627.0165","6928944569.29421","3973952581.95368","5346112080.69066","5523733821.45464","4878309362.4172","4218170364.01126","5093080205.11864","","","",
"Albania","ALB","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","256259150.634832","268839524.50099","293102268.188641","294312295.786395","303810433.117474","316424082.467247","299883305.503738","184813701.698426","117103326.949065","176183759.048055","242617459.188743","285245817.617663","351343654.720325","269026480.486686","273675198.909911","329232194.337629","358889011.801568","404870045.607621","452607884.28736","578536073.614442","755487112.645969","835807726.478582","901103484.46098","1289780176.63886","1555960260.24919","1496552122.43077","1492162488.1581","1774974405.1795","1771663011.08105","1828547504.14839","1917705974.83978","1937485505.76301","1993800315.95227","2217161476.9206","2534299257.50505","2586773515.81174","2540716210.12031","3064374259.38694","","","",
"Andorra","AND","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","4094005.4858504","4650622.8874351","5901495.52912201","7851405.6448417","9707894.47777023","13122995.7350452","13531774.7706619","15102901.9148217","18278412.3810119","24366406.6892756","30709932.9271292","26696556.276176","25754621.0300629","22425588.4322126","22545428.9373291","26845245.0362257","37294134.2443879","47329954.6404078","55880639.9113391","61665038.6369354","79723700.479321","85623127.5065417","93504286.13043","77592388.1293493","78538435.7689109","102846594.303685","106335385.023414","103842900.146493","106400529.776455","110431975.191384","127322507.016229","139266862.490301","159951713.152919","217148413.071529","268218560.72184","280361919.072431","307909290.659325","349273344.427945","362718500.438301","322515598.489222","322555381.699391","334237787.26019","288699670.604679","286777449.5171","294199278.270946","259735326.985688","273490540.584838","283316500.043933","304694118.392743","300851016.877748","298522675.704559","348197436.455484","","","",
"Arab World","ARB","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","1018061714.90724","1505176350.96562","1915807907.39513","2288662374.77475","2783553334.65961","3581042656.70134","4233704762.14061","5670488150.36775","6890919492.32108","7234005728.52404","6954196029.73876","6237884222.53379","5565226009.53342","5989446724.5727","6210306863.266","6574014617.62199","7004710379.37293","6947619801.21314","8749574136.4585","8680000880.22822","8674540397.93445","9091195845.97561","9008368216.91611","8957545785.4635","9135401045.92293","8877867146.7929","8738190412.60488","9231931933.90203","9519162556.42958","10270932607.2158","19463025841.5629","22069979577.9441","24835942818.2437","30527175201.6002","27571944086.5776","13823863759.2864","14450610791.9986","15422965764.4939","14077821530.858","15689211044.8697","17449648371.0611","17125054417.5325","16814716427.8327","18542795468.4242","18710750977.8133","18369121204.5343","22040281232.4663","","","",
"Argentina","ARG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","1730511684.0398","1891731389.2396","2075774509.24483","3150449397.94177","4303197407.83302","3290739990.42909","3324041129.14177","3571153368.13618","3930817609.23324","4561084526.18783","5313320946.55042","5652130778.57871","5905718573.18595","6841839106.4215","5066230520.13659","6089738416.98681","7367961064.45738","7534562468.53776","8904272136.75327","6322370503.49508","11709333040.4409","15390809987.061","18625230986.1304","20867240432.579","24558728011.8803","27230581708.667","26208853561.1399","29882656893.9175","31915218416.2568","32880580525.506","32825922727.9775","31846289273.3006","12802844511.9859","14337962079.1899","16611885516.8676","18624907203.3468","20934971520.4378","25291216058.72","33172025765.5264","36433018867.9566","45007031112.1635","56414221592.8046","63214922640.7733","66083281250.7307","65327275378.0595","71395450685.1198","67992327640.6339","68506424034.2116","58592287422.9834","52517055116.891","44620727930.8203","55632289304.6357","","","",
"Armenia","ARM","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342305545.841647","310169572.540629","211962877.836042","181545379.428807","194111721.376511","210040658.447542","239150679.810547","258264298.381468","284094400.718407","284258614.689363","304130103.480625","331103502.0492","385216100.082236","431455101.757245","520219410.429792","686068596.95736","831995285.626829","1181554204.60043","1381308789.00655","1054050586.09328","1165973830.02789","1220179234.92246","1342044583.38726","1417257022.69169","1476179301.87502","1458906888.47864","1467073489.00556","1550653758.60443","1624464505.21846","1725349889.09242","1594685887.283","1741070318.99864","","","",
"American Samoa","ASM","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","6036792.19065635","7012348.43309883","9221903.12638476","11621236.2405305","13361340.1207972","14916870.6213556","16415918.3226285","18559458.3686459","23368492.0489197","28301330.9225303","33462548.1926335","39039363.9117715","44035937.8147019","45866160.0253485","48712416.1731007","49135829.604219","52642527.2608339","58167474.1132552","62319040.8030872","69311858.7452042","76062912.1703768","81816894.4893347","87675588.4365032","92937990.9408713","84217373.6563442","84818162.8734307","89711250.1325133","93541273.6286815","105557811.390632","119224446.148417","140500113.308957","144974676.015976","130364727.333145","119897821.412249","114118500.343814","121189959.793616","119083098.647079","125093681.499451","141667546.325227","155012171.153913","157909554.07763","177646208.788355","186332333.904735","155461780.736036","167463336.723239","","","",
"Australia","AUS","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","6913514399.94736","7621339972.17784","8409919379.95281","10116998504.7794","13495154056.0858","14906953564.7161","15717771111.0371","17008830453.1176","17851489830.3048","20618917784.0914","22976534862.5404","27039346782.3191","31245116326.0731","28097751650.3911","30394654504.2069","29402068909.2224","31241245908.2039","31816580239.9173","38865242209.3524","49415515620.0636","52715919029.3027","55853577786.5725","56120866044.8933","54107306661.0899","54811164043.6113","60912972068.5203","64651379827.4283","71348278818.4248","65828256972.064","63794486456.9297","69588567638.8117","62924961544.9934","65096121511.4552","75724687756.3844","100396929005.906","114037875959.989","122582745686.376","138894889696.039","172880348709.556","154124412363.896","183914885229.059","221057357724.812","252264055811.102","264556496888.917","259415594196.87","246499028079.683","213077521821.036","232937918802.971","247167982080.903","246181423876.979","230355930961.924","265793432911.397","","","",
"Austria","AUT","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","2277922736.00167","2676880115.86162","3283743160.76585","4302468059.99573","5164311167.34869","6003972315.49256","6212046388.31756","7616150212.61638","9387707744.63731","11030527278.1798","12567979932.3021","11217775534.3073","11359753537.4729","11343797315.6685","10683227422.4969","10803582321.4081","15419299753.2592","19462838872.5903","20718955602.5713","20719744320.516","25715409652.3275","26917297218.9561","30814737769.8152","30713192252.1234","32744834075.1904","38209362623.0597","37781907992.062","34129326860.7988","35086927516.7187","35064045143.5163","32048524207.6221","32643815458.4749","35801406958.04","44376214002.4957","50615504778.1501","52993518046.4133","55553216603.4865","63415445084.6439","71780661889.2226","70299963115.1437","68666157592.3772","74765396508.3456","72087565195.6719","77149314424.2044","79639769351.7605","68351430687.7458","70568615550.1651","74834035003.1066","81858334213.2131","81482295581.6115","86544770290.3036","94505326937.5382","","","",
"Azerbaijan","AZE","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1232033056.46749","1099924997.21721","56953927.9426064","213215763.613791","166717182.168972","339979608.020845","353917869.422971","557574726.437467","744089755.809112","713377565.791443","659365221.278498","704284333.727049","790007269.608977","800183280.724978","926691767.579119","1316162470.91178","1696552496.08238","2016781260.9253","2701557935.73515","2640457825.32968","2864565163.21953","3047613017.60162","3266547861.50713","3336902485.65966","4419609843.17225","3555826664.06402","2505170144.76406","2556588426.67906","3005705882.35294","2873941176.47059","3578117647.05882","4635694476.70164","","","",
"Burundi","BDI","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","31049054.5852436","31274077.5269885","32036882.2784124","37577658.5017078","42167276.7459477","51919538.8447659","53388325.0511214","61930366.1112024","70201189.3341152","91490404.1046236","108492905.985756","112746710.464223","121637005.132652","133178672.637906","124791748.269813","144226770.911185","151432112.458991","147417881.701254","139823875.414985","148948226.024447","147399211.209923","147444875.881608","136864512.769631","122084249.852003","118463388.111322","131995882.930313","117569942.075982","132017834.201317","113926266.56174","103340306.069696","115250060.392012","116256072.4371","106865912.743014","100678253.806325","118586985.540583","152783359.031208","160777535.905135","201123443.223961","231183900.498122","251231869.4915","279957049.433446","300841116.07429","317209308.864389","307107666.969461","328959632.05317","391128239.636736","331176798.597815","363342455.010844","374327711.385457","375707204.913359","404340633.800504","443048949.172583","","","",
"Belgium","BEL","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","3814548965.79665","4177119721.84715","5182998217.49997","6349664950.48436","7594371852.21086","8844479223.51809","9172645742.08334","11204841181.9038","13681008757.3067","15797410412.7446","19542687472.4524","16967427045.3866","14862843441.7732","14043523677.9453","13005951978.7778","13361611049.1136","18197484215.6504","22392642958.0483","23534612124.1832","23660974765.1669","29594811287.9821","30960441966.5713","34910105030.1461","34172380044.9791","37158694447.0484","44889436239.5543","44774201943.7371","40631258451.2771","42013669710.5173","42753302466.7961","39358825156.132","40124650653.1283","43930504261.6927","55602075951.8639","64024647359.7925","67632106263.3592","73060030980.6066","84524370127.0908","97034856974.9457","94133168278.6799","92815412409.6933","101489267022.082","97062186759.2968","101800646162.268","103260513338.471","87704885911.3259","89277934714.5452","93858430851.7277","101736042416.241","100367270802.006","105835091942.481","115771352531.023","","","",
"Benin","BEN","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","13808064.6184128","14235689.5325265","17627757.3990293","22055421.6833663","23799897.3884154","30716292.7070861","41034443.2253354","39107228.8427133","54760964.6733449","68430003.4193304","80569738.1818769","63681671.8195446","86398519.8295703","81913858.9643296","74476699.9613956","65932424.853845","91953190.0854468","116497984.754958","122765104.590816","131106311.748121","178670305.764959","192865329.438994","183829283.636546","278858973.363926","241630381.467888","346009982.680361","407347449.790446","382366825.536086","414913609.833392","601299084.178645","542472938.56658","545221379.894993","589241479.689005","733276415.825095","829505890.481926","855496825.612125","907386449.761681","1025027851.62517","1263406202.26692","1308763636.65903","1292853558.37206","1397908447.78464","1316355033.87761","1322548364.24725","1358047726.25495","1080576899.65488","1110730468.1272","1262306689.76246","1425999128.40523","1478754331.83243","1654057511.11489","1862104294.84116","","","",
"Burkina Faso","BFA","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","17029296.2319148","19303216.6180274","22361877.5237658","28413573.5132676","31851154.3486669","43234412.0086442","47192516.3365208","53794595.6884296","69447504.2103545","84440439.4603954","101131301.264766","94168755.9681301","98419629.4559506","98802950.5697982","96257056.3486773","103285387.062545","135530117.771494","168397122.828679","185109877.965817","189742518.401766","232990220.554576","229575645.961756","252138632.835612","238790435.788093","156617671.364327","187063145.65056","200813933.570872","195469377.184894","237630231.699944","287994158.364878","186107084.536676","201138263.911158","235830682.492628","302927531.789991","384179037.581475","439847204.890403","510611154.049655","599108470.538182","770217738.492443","802295642.281765","817462629.733932","932773508.827155","950353848.372893","1089528172.58454","1119028881.12447","873052593.844976","796212193.869716","931960568.797718","1081103899.89159","1196796385.34432","1397995169.04794","1617138864.17109","","","",
"Bangladesh","BGD","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","699218868.056878","689022545.134815","500278563.447365","606093333.669933","883460331.119152","1459981076.78712","780582277.412993","718491685.096918","981519623.397209","1172845291.01296","1360397980.93959","1502135182.65662","1332745625.07204","1288023607.79535","1380716297.74142","1631389033.29034","1569223828.23173","1768366624.86451","1985447401.56735","2142637260.70585","2362319685.64808","2303927468.23875","2397033335.94283","2505942064.22082","2562426844.80452","2855543241.91378","3533874911.73097","3643209357.71296","3821302942.76544","3910895243.65459","4017560653.85964","4131248290.56241","4149981382.29249","4539592723.07129","4847451715.82129","5146589282.91123","5890776069.51684","6475152373.14965","7336415573.70089","8265761638.76624","9216324271.95797","10239745158.213","10536854474.6145","11954555152.5305","13991508305.4324","15828451671.3859","21718854719.8736","24319557261.3755","26528459996.1518","2900436981.26917","3955876571.58695","5370739514.21203","","","",
"Bulgaria","BGR","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","2619156772.0261","2630163169.50359","2584875272.24184","2220713059.58905","2383940384.96501","2321920259.2078","2767184442.56568","3817258084.01376","3085069865.81878","3089284328.85802","2951234955.4086","1546064049.49319","1353295750.3074","1468219472.88927","1015475146.78901","1152770685.46267","810918477.460492","694909682.819913","1515412368.43567","1617107826.76232","1692249242.1288","1805742724.64519","2180932783.94609","3043476988.90639","3654402090.14168","4282040890.59917","4855383295.56637","6042089459.51032","6707208924.87671","7362381647.67919","7732012015.80654","8269031000.5543","7562671829.98133","7650323376.42247","8422315955.33859","7312148869.03286","7715069181.1844","8361732268.43561","9567946972.69478","9842966046.86693","9973796608.15645","11865809707.1255","","","",
"Bahrain","BHR","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","160150611.216211","224977025.602887","307560821.180381","330534101.506701","362044143.817444","672214631.945864","438619678.0689","454416795.962525","397954781.850403","416885034.212624","406737523.466772","467751092.894086","482970115.591941","512213736.592134","563121561.993942","587792917.084199","591476982.36433","590263259.668109","624651434.644527","671641302.228294","834090883.078326","862222590.190751","855015329.572925","928858168.634135","993411228.27631","1022530585.66173","1132691443.21633","1269254672.51409","1280566963.49816","1302343212.55018","1457055557.31367","1658158464.90947","1585433127.88018","1659091925.96095","1750331845.91854","2172146625.78125","2254290194.48704","2569649713.73795","3047943492.84213","3304199126.80138","3243853793.38837","4036758221.0777","","","",
"Bahamas, The","BHS","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","22136345.1993598","23557101.2465004","26728678.3784786","28319725.2712751","28995030.1534692","35317776.2324744","35076215.2652547","40578192.8625719","40607998.9087983","52607453.7053426","57025136.9741321","77760447.6392134","88938797.4381258","98021201.5570924","106515132.08271","117751401.211424","141603273.522073","146706049.894936","156764534.426656","162197611.679344","181685830.809892","162975898.153406","167035947.114604","176367854.739068","208148033.203065","208389052.035096","183844476.748928","347802773.200758","374503043.099561","467361941.72635","529134099.771811","535812157.109336","571840847.827253","587190253.623754","607431532.923578","642591438.272039","707603164.360543","713540077.721116","746439175.033677","720067949.089562","738878355.51186","726102741.067551","717005045.367459","749373385.133781","854835415.42678","1090047899.97215","1013875179.31929","917142614.418981","913845422.62164","878978119.310844","584659828.216184","604469033.819739","","","",
"Bosnia and Herzegovina","BIH","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104331254.413033","117461606.694702","98757556.1866692","148494630.391522","217123233.622036","281593351.399538","404793231.202157","457882491.004472","565299602.269614","791110455.175094","1019938750.28278","1095390697.62327","1269324603.44366","1902805074.52028","2130894605.62327","2141484522.82745","2238524602.40212","2626482291.94446","2722911315.052","2875285414.1027","3085764498.04013","2634697481.0822","2669228630.3129","2688077411.59634","3043356356.33793","3078394006.64341","3003810249.82651","3475590744.6668","","","",
"Belarus","BLR","Adjusted savings: consumption of fixed capital (current US$)","NY.ADJ.DKAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3026996497.70838","2493205504.72278","2454693196.03011","2210785204.36664","1986601891.44022","2038292248.24817","2180862075.90023","2135848154.75132","2252964216.06744","1827157551.25236","1748146084.51389","1673682859.65783","1975165532.23985","2421070197.09736","3209002916.70356","4100377094.23048","5037001511.00849","6219971601.92892","8400278349.41634","6884921125.1408","8131109701.48722","8847628966.78515","9494226471.63699","11095082714.0053","11354807187.8232","8222964249.83833","6927225134.17948","8088952607.04768","8995899700.83449","9814074188.73118","9814425064.05938","11059147704.9183","","","",
