"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3938697286997","18.3852788691726","18.5641920249603","17.740896962154","18.9487787063082","17.2403909421037","17.8639174196304","17.8069474886437","16.7841518283482","17.4007381597916","18.1486824696459","18.8632320871413","19.4818169147318","21.2269598657084","23.7451142327418","23.9202999650544","21.3491191112507","21.835567973105","22.1997740216059","22.6065538885576","23.1865577168069","22.6399092811008","22.1532816712327","21.7597543030129","21.2754081627045","21.4868407316028","19.7329290820807","19.4120288858398","19.4352829545479","19.4535846574594","18.593912280872",
"Afghanistan","AFG","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4556283331357","12.9867036666422","16.6684717100358","15.2435765521019","",
"Africa Western and Central","AFW","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","31.2698913492111","30.3441930863904","31.1805304545116","28.9849966736527","22.8887255074739","26.2503761127983","30.5810596692926","43.0003971409803","28.9194518919902","27.4418409025884","27.7888811657442","27.1594384976734","28.4327573552977","29.0721207527156","30.0761762522923","29.1318691032117","24.159251809913","24.5904860348098","19.551921802528","15.959365647445","14.1370359060667","12.2907549674003","10.3941219963068",
"Albania","ALB","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","35.1454825483242","32.1448264037499","34.4923012277707","36.6919155125718","38.3472354348279","33.45274868539","32.0944339250987","33.5688783800913","32.6815097480848","32.4776201793981","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","23.4888671355406","22.8277475804894","20.8152471481861","22.2095424976303","24.315483594315","32.3834710002936","36.874485838279","36.0225168477628","36.1844107733044","38.171113638681","38.4528885210446","38.3733064639202","36.4450920497709","35.0619928502369","34.46966714051","30.1746231779397","31.6903461775522","28.6230804126196","27.8069449555149","26.5299242007892","26.0810405275666","25.626746695952","26.2596685681188","25.9195838592949","24.6048342032887","25.1975755428037","27.2150561792836","25.6948129442746","24.2865145867852","24.3552461083467",
"Andorra","AND","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","18.0345935583273","18.3912091120506","18.1304272496751","16.9165594196174","17.6285105461287","18.4559510240035","15.0820804469118","24.0630420306427","26.4303040819448","28.7193335202137","31.9549071313031","27.217225771445","24.5646953140532","28.3488997377187","31.8182572229433","32.294682912614","29.4044382726716","27.5171470229575","29.0151395149976","25.8212112811557","24.3701451274707","25.4850717171343","20.2486543280219","22.7655595023468","23.5063052449962","24.2938215437983","23.1365813877632","22.1184317514613","21.0055401360464","20.677416701215","22.1035513895344","20.2684763013029","18.3369171807129","19.4509954601289","19.9317111764526","20.1113762568801","20.0123573747298","20.0477391064511","20.5911833485624","22.5815001696492","22.8611333020198","25.1640548303945","24.3730615625604","22.2167272615656","21.1393162847211","22.2727435275205","23.1285676697485","25.58349620877","24.2483890086101","23.6024102795452","22.5888273162192","23.0792226236641","22.211289765194","21.3961224134434","21.2766194725246","23.5088700458693","24.104554128819",
"United Arab Emirates","ARE","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9781022476885","21.0714174063972","20.7914763654519","18.6841157151146","18.3791279785529","17.5782112065002","23.5730265192985","22.3738986039956","28.9130021991292","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","23.4787682830017","27.7658954095825","21.7305032785137","18.2725157879141","17.1788998053412","19.223425192304","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8218932100794","23.9151408095888","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.0564340661161","19.9389752563704","17.9377461107015","18.0821812623381","19.37012354068","19.9349616865126","18.0140244001369","16.192649393261","14.1791183183273","11.9606480900889","15.1375075649857","15.8937872782322","17.3511468951153","18.3311867225446","19.5160791570053","19.0101609779701","15.581752639827","16.6414661565525","17.2482847013515","15.8575254186347","16.2895111851898","15.9799540764527","15.5647450770354","14.2723627542237","15.1621987548244","15.2510495001607","14.1990461422681","14.282505371897","17.2906325754362","17.6177901931028","18.4930289934213","15.9035666572482",
